"juge" "type" "essai" "o_glo" "o_ter" "o_cav" "o_ff" "flet" "rug" "resi" "croq" "jute" "fari" "masti" "sucr" "acid" "arom" "fond" "astri"
"c" "CAN" "2nd" 0 0 0 0 0 2.9 3.5 1.3 0.7 8.8 1.1 7.8 0.2 7 9.8 5.3
"d" "CAN" "2nd" 5.9 2.3 0.7 1.9 0.9 6.6 6 2.2 6.7 7.2 6.2 5.8 3.4 7.1 8 3.8
"e" "CAN" "2nd" 1.7 1.4 0.1 0 4.4 1.7 3.9 4 1.7 3.8 2.5 2.4 3.3 5.7 6.7 1.1
"f" "CAN" "2nd" 1.5 1.4 0.1 0.2 0.8 6.4 7.3 3.7 4.8 7.2 4.2 7.7 1 3.8 4.8 4.9
"g" "CAN" "2nd" 0.4 0.2 0.2 0 1 4.7 3.1 2 3.7 6.7 2.3 3.6 4.9 4.4 8.7 7.3
"h" "CAN" "2nd" 3.6 0.2 1.9 0 6.3 5.7 4.1 4.2 0.3 9.3 3.1 9.6 0.6 8.2 1.2 1.7
"i" "CAN" "2nd" 0.1 0.1 0.1 0.1 0.9 5.7 5 2.8 0.6 8.2 4.9 6.9 1.6 5.4 2.6 2.2
"j" "CAN" "2nd" 2.6 2.6 0.1 0.1 1 3.6 8.3 2.2 5.2 5.3 1.6 8.8 1.1 7.1 7.2 1.6
"k" "CAN" "2nd" 0.4 0.1 0.2 0 0 5.3 4.7 1.1 2.2 8.5 5.7 3.5 2.1 5.1 5.9 0.5
"l" "CAN" "2nd" 3.6 1.7 1.1 0 0.1 2.2 4.8 3.9 4.2 6.5 4.6 7.3 5.9 5.6 6.4 5.2
"m" "CAN" "2nd" 0.2 0.1 0 0 3 7.3 6.9 1.8 0.2 9.5 4.7 6 4.4 6.8 5.5 4.2
"a" "GRA" "1er" 1 0.4 0 0.1 0 0 9.3 9 8.1 0.2 8.7 2 8.7 0.6 3.1 5.8
"b" "GRA" "1er" 5.6 3.2 5.5 6.6 0.1 2.2 8.9 9 5.7 0.7 6.1 1.4 6.8 4.6 1 4.7
"c" "GRA" "1er" 6.8 0.4 2.3 2 0 0 9.8 9.5 6 0.3 7 2.3 8.7 3.1 6.8 1.4
"d" "GRA" "1er" 3.5 1.4 0 1.5 0.1 0 7.2 8.6 8.3 0.1 8 3.4 7.2 2 3.4 5.9
"e" "GRA" "1er" 0.8 0.7 0 0 0.1 0 9.3 8.6 7.8 0 8 2.2 5.6 1.4 0 0.1
"f" "GRA" "1er" 1.2 0.1 0.1 1.2 0.1 0.1 9.1 4.6 8.1 0.2 5.2 1.5 8.1 1.7 4.8 4.3
"g" "GRA" "1er" 4.9 0 0 2.3 0 0.1 9.9 8.9 7.2 0 8.2 3.3 7.1 2.5 1.5 3.8
"h" "GRA" "1er" 7.7 0.3 0.8 1.4 0 0 9.4 9.6 8 0.2 5.8 7.1 8.7 7.6 3.1 1.7
"i" "GRA" "1er" 1.2 0.1 0.2 0.2 0.1 0.1 9.8 9.7 8 0.6 7.9 1.9 8.4 2 0.3 8.2
"j" "GRA" "1er" 2.7 1.3 2.5 0.1 0.1 0.1 8.8 9.4 9 0.4 7.5 5.3 7.8 5 1.2 7.9
"k" "GRA" "1er" 0.3 0 0.3 0 0 0.2 8.5 1.4 2.6 0.5 8.6 1.8 8.8 1.8 0.7 0.5
"l" "GRA" "1er" 4.4 0.2 3.4 0.6 0 3.5 10 9 9.4 2.1 8.1 6.6 8.2 7.2 5.7 7
"m" "GRA" "1er" 1 0.1 0.2 0.1 0.1 0 8.8 9.1 4.7 0.3 7.3 1.9 8.5 9.1 0.4 5.4
"a" "GRA" "2nd" 2 0.1 0.1 1.5 0.1 0.2 9.5 8.7 8.6 0.2 8.7 4.2 7.3 3.3 2.1 3.8
"b" "GRA" "2nd" 3.6 1.2 1.4 6.5 0.5 2.5 9.4 7.3 4.6 0.7 3.6 1.3 6.3 5 1.5 3.7
"c" "GRA" "2nd" 2.6 0.1 0.1 2.6 0.4 0 9 9.7 5.2 0.3 5.9 4.4 8.2 3.4 4.9 4.6
"d" "GRA" "2nd" 4.6 0.1 0.8 1.7 0.1 0.1 8.9 8.5 8.1 1 7.4 6.6 7.7 5.7 1 6.2
"e" "GRA" "2nd" 3.5 0.7 0.1 2 0 0.1 8.8 9.6 7.2 0.2 7.5 0.3 9.3 0.1 0.1 2.7
"f" "GRA" "2nd" 2.1 0.1 0.2 2.2 0.2 0.4 9.6 3.1 7.4 2 7.1 0.5 9.3 2.6 5.4 1.7
"g" "GRA" "2nd" 0.3 0 0 0.1 0 1.1 7.1 9.8 5.9 2.6 6.6 5.4 7.9 6.2 3.1 6.6
"h" "GRA" "2nd" 7.7 1 1.6 0.9 0 0 8.8 9.4 9 0.2 6.2 9.3 6.6 8.8 5 2.7
"i" "GRA" "2nd" 0.6 0 0.1 0.7 0.1 0.2 8.4 6.3 2.2 2.3 6.8 3.9 7.6 4 1 5.1
"j" "GRA" "2nd" 1.8 1 0.1 1.1 0.1 0.1 9.7 9.7 8.4 0.3 7.5 2.7 8.2 6.9 1.4 8.2
"k" "GRA" "2nd" 1.4 0.1 0.2 0.2 0 2.2 9.1 8.2 4.3 0.2 8.7 2.3 1 1.6 0.3 0.9
"l" "GRA" "2nd" 5.8 1.1 2.6 1.2 0 2.2 7.2 8.9 8.7 1 9 5.8 8.6 6.3 4.5 4.3
"m" "GRA" "2nd" 2.6 0.8 2.5 0.1 0.1 0.4 9.4 8.8 6.4 0.4 7.6 1.8 7.2 7.3 1.2 4.7
"a" "JON" "1er" 6.4 0.1 0.1 2.5 0.2 0.3 7.5 6.2 8.9 0.2 7.1 8.6 0.2 2.9 8.6 1.3
"b" "JON" "1er" 6 1.3 0.9 1.7 0.3 0.6 5.9 1.2 7.1 2.6 1.2 1.3 2.9 1.3 6.4 1.4
"c" "JON" "1er" 8.3 3.1 0 2 0.2 0 6.5 0.7 3.5 5.6 0.6 6.9 0.7 9.7 9.3 2.6
"d" "JON" "1er" 7.9 0 0 1.7 0.2 0.5 2.1 2.5 8.6 2.1 3.5 7.9 3.1 7 6 3.5
"e" "JON" "1er" 5.6 0.2 0.1 4 0.1 0.1 6.9 5.4 6.7 0.9 3.4 2.4 1.6 1.5 7.6 1.3
"f" "JON" "1er" 3.9 0.1 0.1 0.2 0.1 0.4 4.2 1.7 7.5 6.2 2.7 7.3 0.3 2.9 8.3 3
"g" "JON" "1er" 4 0 0 1.2 0 0 7.1 6.1 5.8 1.7 6 6.7 2.8 7.2 6.1 0.4
"h" "JON" "1er" 6.1 1.6 2.3 0 0 0 6.3 6 7.1 4 1.8 9.7 1.3 2.4 9.5 0.1
"i" "JON" "1er" 2.4 0 0.1 2.1 0.1 0.1 9.8 0.9 4.6 3.7 2.8 8.1 0.5 4.7 7.6 0.5
"j" "JON" "1er" 3.2 0.1 0.1 3.3 0.2 0.2 5.1 4.1 7.9 4.1 3.3 5 0.2 4.1 6 1.6
"k" "JON" "1er" 0.1 0 0 0 0.1 0.2 5 4.6 5.6 0.8 5.8 1 0.1 0.5 5.3 0.1
"l" "JON" "1er" 6.6 0.6 3 0.5 0 1.1 4.7 3.5 7.8 3.3 6.4 6.2 6 5.1 8 4.7
"m" "JON" "1er" 2.8 0.1 1.7 0 0.1 1.7 7.7 1.8 5.5 3.9 3.2 4.9 2.7 3.5 6.4 0.6
"a" "JON" "2nd" 6.8 0 0.1 2 0.2 0.1 8.3 3.9 8.5 2.9 6.5 8.5 0.2 2.8 8.4 0.2
"b" "JON" "2nd" 2.2 1 3.6 2.5 0.2 0.7 6.5 2.8 5.2 0.8 1.7 2.9 2.8 2.7 5.9 2.8
"c" "JON" "2nd" 9.3 0.1 0.9 1.9 0.1 0.1 7.6 1.8 5.7 4.3 2.5 8.2 1.3 8.4 9.6 2.3
"d" "JON" "2nd" 6.8 0.1 0.1 1.5 0.1 0.1 2.9 2.3 7.2 2.2 2.7 6.1 1.4 7 7.2 1.8
"e" "JON" "2nd" 6.5 0.1 0.1 6.6 0.1 0.1 6.1 6.6 7.6 1 1.8 2 1.9 1.4 8.1 1.1
"f" "JON" "2nd" 7.1 0.2 0.1 3.9 0.2 0.3 6.9 4.5 8.4 0.8 4.4 7.9 0.9 6.5 5.3 4.7
"g" "JON" "2nd" 2 0 0 1.3 0 0 4.7 2.1 7.6 3.8 2.3 7 3.6 4.5 7.8 1.7
"h" "JON" "2nd" 6.7 0.3 2.4 0.5 0.1 0 7.5 4.7 5.4 5.9 1.5 8.5 0.3 6.6 9.5 0.2
"i" "JON" "2nd" 2.1 0.1 0.1 2.1 0 0.1 9.8 4.6 3.8 1.8 2.5 6 0.4 3.6 8.4 0.5
"j" "JON" "2nd" 3.4 3.4 0.2 0.1 0.2 0.2 6.4 3.2 7.9 0.1 5.2 8.2 0.8 6.7 8.2 1.9
"k" "JON" "2nd" 2.5 0.1 0.2 0.3 0.1 0.1 8.1 4.4 6.8 0.1 5.1 1.8 0.4 0.4 8.5 0.9
"l" "JON" "2nd" 7.5 2.5 4.2 0 0 1.9 5 3.9 7.9 4.2 4.3 5.8 5.4 4.5 6.3 6
"m" "JON" "2nd" 3.4 1.7 3.2 0.1 0.2 0.6 9.5 3.2 9 4 3.8 4.8 5.2 5.4 7.2 2.3
